xflr5 v6.58

NACA 2412 - 03
Reynolds =,  900000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.025, -1.061, -0.079,  0.998,  0.014,-0.0006,-9.0889
Cpi,Cpv
 0.4315, 0.0952
 0.2757, 0.0755
 0.2200, 0.0740
 0.1784, 0.0714
 0.1479, 0.0668
 0.1237, 0.0595
 0.1039, 0.0495
 0.0872, 0.0365
 0.0727, 0.0226
 0.0597, 0.0089
 0.0472,-0.0048
 0.0336,-0.0196
 0.0181,-0.0368
-0.0302,-0.0723
-0.0694,-0.0884
-0.0759,-0.0901
-0.0435,-0.0761
 0.0037,-0.0409
 0.0340,-0.0113
 0.0531, 0.0082
 0.0698, 0.0252
 0.0856, 0.0414
 0.1015, 0.0575
 0.1180, 0.0741
 0.1355, 0.0915
 0.1540, 0.1098
 0.1738, 0.1289
 0.1922, 0.1475
 0.2155, 0.1707
 0.2442, 0.1990
 0.2767, 0.2312
 0.3131, 0.2673
 0.3532, 0.3072
 0.3972, 0.3510
 0.4448, 0.3986
 0.4962, 0.4501
 0.5512, 0.5055
 0.6095, 0.5644
 0.6707, 0.6268
 0.7342, 0.6917
 0.7986, 0.7589
 0.8620, 0.8258
 0.9209, 0.8906
 0.9696, 0.9476
 0.9979, 0.9887
 0.9878, 0.9982
 0.9066, 0.9478
 0.6934, 0.7838
 0.2343, 0.4067
-0.6779,-0.3690
-2.3668,-1.8313
-5.0831,-4.2158
-8.3002,-7.0657
-10.6189,-9.0889
-10.6659,-8.9932
-9.3103,-8.2953
-7.7380,-8.0590
-6.3897,-5.8744
-5.3249,-4.7398
-4.4974,-4.0243
-3.8497,-3.4708
-3.3351,-3.0233
-2.9189,-2.6560
-2.5765,-2.3506
-2.2901,-2.0932
-2.0472,-1.8735
-1.8384,-1.6837
-1.6569,-1.5180
-1.4974,-1.3719
-1.3562,-1.2421
-1.2302,-1.1260
-1.1172,-1.0216
-1.0152,-0.9272
-0.9228,-0.8416
-0.8391,-0.7638
-0.7633,-0.6929
-0.6948,-0.6284
-0.6360,-0.5700
-0.5848,-0.5160
-0.5294,-0.4630
-0.4757,-0.4121
-0.4237,-0.3634
-0.3732,-0.3170
-0.3240,-0.2728
-0.2754,-0.2309
-0.2263,-0.1913
-0.1728,-0.1540
-0.1167,-0.1193
 0.0161,-0.0976
-0.0673,-0.0942
-0.0790,-0.0766
-0.0690,-0.0581
-0.0522,-0.0393
-0.0319,-0.0206
-0.0090,-0.0023
 0.0161, 0.0153
 0.0437, 0.0319
 0.0742, 0.0472
 0.1087, 0.0611
 0.1490, 0.0733
 0.1998, 0.0834
 0.2641, 0.0911
 0.4315, 0.0952


Reynolds =,  900000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.022, -0.949, -0.085,  0.990,  0.017, 0.0015,-7.9271
Cpi,Cpv
 0.4281, 0.1328
 0.2693, 0.0754
 0.2116, 0.0513
 0.1681, 0.0477
 0.1358, 0.0427
 0.1097, 0.0356
 0.0880, 0.0263
 0.0694, 0.0145
 0.0530, 0.0009
 0.0380,-0.0135
 0.0236,-0.0284
 0.0078,-0.0447
-0.0101,-0.0636
-0.0620,-0.1014
-0.1027,-0.1180
-0.1099,-0.1202
-0.0768,-0.1066
-0.0294,-0.0722
-0.0003,-0.0440
 0.0173,-0.0262
 0.0322,-0.0109
 0.0462, 0.0034
 0.0603, 0.0176
 0.0748, 0.0323
 0.0903, 0.0477
 0.1067, 0.0639
 0.1244, 0.0808
