xflr5 v6.58

NACA 2412 - 0
Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.042, -1.133, -0.063,  1.000,  0.012,-0.0036,-9.9808
Cpi,Cpv
 0.4425,-0.0630
 0.3005,-0.0446
 0.2534,-0.0418
 0.2210,-0.0371
 0.1994,-0.0329
 0.1841,-0.0285
 0.1734,-0.0238
 0.1662,-0.0186
 0.1619,-0.0129
 0.1599,-0.0065
 0.1600, 0.0005
 0.1619, 0.0082
 0.1659, 0.0168
 0.1686, 0.0250
 0.1792, 0.0335
 0.1756, 0.0348
 0.1857, 0.0469
 0.1949, 0.0585
 0.2059, 0.0713
 0.2183, 0.0852
 0.2322, 0.1002
 0.2477, 0.1164
 0.2648, 0.1340
 0.2836, 0.1528
 0.3041, 0.1728
 0.3241, 0.1924
 0.3487, 0.2167
 0.3785, 0.2462
 0.4119, 0.2795
 0.4489, 0.3167
 0.4894, 0.3576
 0.5333, 0.4022
 0.5803, 0.4504
 0.6302, 0.5022
 0.6828, 0.5575
 0.7373, 0.6160
 0.7929, 0.6772
 0.8482, 0.7403
 0.9011, 0.8043
 0.9482, 0.8667
 0.9841, 0.9246
 1.0000, 0.9717
 0.9808, 0.9984
 0.9008, 0.9866
 0.7145, 0.9045
 0.3396, 0.6920
-0.3739, 0.2397
-1.6890,-0.6534
-3.9958,-2.2912
-7.5332,-4.9002
-11.4986,-7.9357
-14.1055,-9.9808
-13.7796,-9.6776
-11.7956,-9.1415
-9.6626,-8.4495
-7.8908,-6.2001
-6.5186,-5.0087
-5.4677,-4.2291
-4.6546,-3.6260
-4.0149,-3.1413
-3.5021,-2.7455
-3.0835,-2.4175
-2.7362,-2.1418
-2.4435,-1.9068
-2.1937,-1.7040
-1.9779,-1.5270
-1.7895,-1.3711
-1.6238,-1.2326
-1.4767,-1.1087
-1.3455,-0.9974
-1.2279,-0.8968
-1.1221,-0.8056
-1.0268,-0.7230
-0.9410,-0.6479
-0.8640,-0.5797
-0.7984,-0.5180
-0.7419,-0.4617
-0.6815,-0.4097
-0.6238,-0.3630
-0.5687,-0.3220
-0.5164,-0.2870
-0.4668,-0.2580
-0.4197,-0.2384
-0.3749,-0.2254
-0.3321,-0.2115
-0.2917,-0.1972
-0.2682,-0.1893
-0.2525,-0.1831
-0.2141,-0.1693
-0.1772,-0.1561
-0.1409,-0.1436
-0.1050,-0.1317
-0.0689,-0.1205
-0.0323,-0.1100
 0.0056,-0.1003
 0.0456,-0.0914
 0.0889,-0.0834
 0.1374,-0.0763
 0.1961,-0.0703
 0.2670,-0.0656
 0.4425,-0.0630


Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.030, -1.150, -0.067,  1.000,  0.012,-0.0014,-9.6757
Cpi,Cpv
 0.4381, 0.0372
 0.2929, 0.0413
 0.2439, 0.0362
 0.2096, 0.0321
 0.1862, 0.0285
 0.1692, 0.0260
 0.1568, 0.0246
 0.1480, 0.0243
 0.1420, 0.0253
 0.1384, 0.0273
 0.1369, 0.0304
 0.1371, 0.0345
 0.1395, 0.0398
 0.1405, 0.0450
 0.1506, 0.0520
 0.1458, 0.0519
 0.1543, 0.0613
 0.1618, 0.0704
 0.1711, 0.0808
 0.1818, 0.0923
 0.1939, 0.1051
 0.2076, 0.1192
 0.2229, 0.1346
 0.2398, 0.1515
 0.2585, 0.1695
 0.2764, 0.1872
 0.2991, 0.2096
 0.3272, 0.2373
 0.3590, 0.2689
 0.3947, 0.3044
 0.4341, 0.3438
 0.4770, 0.3870
 0.5236, 0.4340
 0.5735, 0.4848
 0.6266, 0.5393
 0.6825, 0.5973
 0.7404, 0.6584
 0.7994, 0.7217
 0.8578, 0.7866
 0.9129, 0.8506
 0.9603, 0.9113
 0.9926, 0.9625
 0.9974, 0.9954
 0.9528, 0.9928
 0.8195, 0.9242
 0.5259, 0.7322
-0.0605, 0.3109
-1.1755,-0.5353
-3.1778,-2.1060
-6.3150,-4.6350
-9.9235,-7.6154
-12.4047,-9.6757
-12.2753,-9.4655
-10.6067,-8.8813
-8.7515,-8.3416
-7.1881,-6.1213
-5.9664,-4.9666
-5.0245,-4.2125
-4.2920,-3.6272
-3.7131,-3.1559
-3.2473,-2.7706
-2.8657,-2.4513
-2.5481,-2.1829
-2.2797,-1.9543
-2.0499,-1.7573
-1.8509,-1.5855
-1.6768,-1.4345
-1.5232,-1.3005
-1.3867,-1.1810
-1.2647,-1.0736
-1.1551,-0.9768
-1.0563,-0.8892
-0.9672,-0.8097
-0.8870,-0.7374
-0.8149,-0.6716
-0.7536,-0.6122
-0.7010,-0.5574
-0.6442,-0.5038
-0.5899,-0.4527
-0.5380,-0.4040
-0.4886,-0.3578
-0.4417,-0.3142
-0.3972,-0.2729
-0.3547,-0.2342
-0.3142,-0.1980
-0.2758,-0.1641
-0.2534,-0.1462
-0.2385,-0.1329
-0.2020,-0.1044
-0.1669,-0.0784
-0.1322,-0.0552
-0.0979,-0.0347
-0.0633,-0.0169
-0.0282,-0.0018
 0.0083, 0.0108
 0.0469, 0.0210
 0.0889, 0.0275
 0.1361, 0.0307
 0.1936, 0.0334
 0.2636, 0.0358
 0.4381, 0.0372


Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.025, -1.115, -0.060,  1.000,  0.012,-0.0017,-8.8645
Cpi,Cpv
 0.4341, 0.0951
 0.2857, 0.0923
 0.2348, 0.0844
 0.1986, 0.0746
 0.1734, 0.0647
 0.1547, 0.0562
 0.1406, 0.0494
 0.1300, 0.0445
 0.1224, 0.0413
 0.1171, 0.0396
 0.1139, 0.0394
 0.1125, 0.0405
 0.1132, 0.0429
 0.1124, 0.0455
 0.1220, 0.0513
 0.1160, 0.0500
 0.1228, 0.0569
 0.1286, 0.0637
 0.1361, 0.0718
 0.1449, 0.0811
 0.1552, 0.0917
 0.1670, 0.1037
 0.1804, 0.1170
 0.1953, 0.1317
 0.2119, 0.1476
 0.2275, 0.1632
 0.2482, 0.1835
 0.2742, 0.2091
 0.3043, 0.2388
 0.3383, 0.2725
 0.3762, 0.3101
 0.4180, 0.3518
 0.4636, 0.3975
 0.5130, 0.4471
 0.5662, 0.5008
 0.6227, 0.5583
 0.6822, 0.6195
 0.7440, 0.6836
 0.8068, 0.7503
 0.8685, 0.8172
 0.9257, 0.8827
 0.9725, 0.9412
 0.9986, 0.9852
 0.9857, 0.9994
 0.9006, 0.9566
 0.6816, 0.8048
 0.2130, 0.4468
-0.7151,-0.2988
-2.4305,-1.7167
-5.1865,-4.0447
-8.4482,-6.8493
-10.7978,-8.8645
-10.8440,-8.7893
-9.4691,-8.1571
-7.8754,-7.9151
-6.5095,-5.7956
-5.4311,-4.7081
-4.5935,-4.0093
-3.9383,-3.4651
