xflr5 v6.58

NACA 2412 - 15
Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.018, -0.370, -0.198,  0.779,  0.020, 0.0129,-6.0253
Cpi,Cpv
 0.4267, 0.2081
 0.2362, 0.1814
 0.1550, 0.1355
 0.0853, 0.0858
 0.0261, 0.0361
-0.0284,-0.0119
-0.0807,-0.0580
-0.1329,-0.1022
-0.1872,-0.1464
-0.2463,-0.2074
-0.3145,-0.3936
-0.4033,-0.7367
-0.5167,-0.7357
-0.8892,-0.7213
-1.2048,-0.8015
-1.2988,-0.9675
-1.0423,-0.8506
-0.6701,-0.5958
-0.5096,-0.4664
-0.4221,-0.3922
-0.3628,-0.3396
-0.3170,-0.2980
-0.2790,-0.2627
-0.2456,-0.2312
-0.2151,-0.2020
-0.1864,-0.1744
-0.1586,-0.1480
-0.1354,-0.1246
-0.1076,-0.0969
-0.0744,-0.0642
-0.0377,-0.0279
 0.0024, 0.0118
 0.0461, 0.0552
 0.0936, 0.1024
 0.1449, 0.1534
 0.2004, 0.2085
 0.2600, 0.2678
 0.3241, 0.3315
 0.3927, 0.3998
 0.4659, 0.4724
 0.5434, 0.5496
 0.6251, 0.6304
 0.7097, 0.7147
 0.7955, 0.7993
 0.8784, 0.8815
 0.9504, 0.9521
 0.9956, 0.9961
 0.9822, 0.9813
 0.8455, 0.8443
 0.4587, 0.4590
-0.3991,-0.3881
-1.9659,-1.9294
-4.0618,-3.9718
-5.8414,-5.6736
-6.2759,-6.0253
-5.7164,-5.4038
-4.8888,-5.0979
-4.1174,-4.5852
-3.4780,-3.4088
-2.9637,-2.8639
-2.5500,-2.4800
-2.2134,-2.1649
-1.9355,-1.8998
-1.7024,-1.6747
-1.5040,-1.4816
-1.3327,-1.3140
-1.1830,-1.1670
-1.0507,-1.0367
-0.9327,-0.9201
-0.8265,-0.8150
-0.7301,-0.7194
-0.6423,-0.6322
-0.5616,-0.5519
-0.4874,-0.4779
-0.4187,-0.4092
-0.3551,-0.3453
-0.2961,-0.2857
-0.2436,-0.2305
-0.1957,-0.1778
-0.1433,-0.1244
-0.0908,-0.0717
-0.0377,-0.0203
 0.0163, 0.0289
 0.0724, 0.0750
 0.1325, 0.1164
 0.1997, 0.1516
 0.2846, 0.1791
 0.3991, 0.1981
 0.6690, 0.2019
 0.4872, 0.2068
 0.3348, 0.2147
 0.2806, 0.2150
 0.2453, 0.2110
 0.2235, 0.2051
 0.2097, 0.1991
 0.2021, 0.1943
 0.1997, 0.1913
 0.2023, 0.1904
 0.2103, 0.1917
 0.2252, 0.1952
 0.2507, 0.2003
 0.2922, 0.2062
 0.4267, 0.2081


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.016, -0.255, -0.202,  0.781,  0.021, 0.0138,-5.0791
Cpi,Cpv
 0.4259, 0.2115
 0.2328, 0.1840
 0.1499, 0.1365
 0.0782, 0.0846
 0.0169, 0.0325
-0.0398,-0.0180
-0.0944,-0.0665
-0.1491,-0.1129
-0.2061,-0.1588
-0.2682,-0.2198
-0.3398,-0.4058
-0.4329,-0.7768
-0.5515,-0.7756
-0.9364,-0.7608
-1.2614,-0.8479
-1.3592,-1.0181
-1.0973,-0.8987
-0.7172,-0.6390
-0.5554,-0.5091
-0.4685,-0.4357
-0.4103,-0.3844
-0.3662,-0.3445
-0.3300,-0.3110
-0.2986,-0.2815
-0.2702,-0.2545
-0.2438,-0.2292
-0.2186,-0.2053
-0.1982,-0.1846
-0.1732,-0.1597
-0.1427,-0.1296
-0.1088,-0.0960
-0.0713,-0.0588
-0.0302,-0.0179
 0.0147, 0.0267
 0.0636, 0.0754
 0.1167, 0.1283
 0.1743, 0.1857
 0.2366, 0.2477
 0.3039, 0.3146
 0.3762, 0.3866
 0.4538, 0.4638
 0.5366, 0.5459
 0.6243, 0.6332
 0.7157, 0.7233
 0.8083, 0.8152
 0.8966, 0.9015
 0.9688, 0.9717
 0.9999, 0.9997
 0.9379, 0.9339
 0.6763, 0.6676
 0.0208, 0.0106
-1.2597,-1.2628
-3.0682,-3.0435
-4.7013,-4.6222
-5.2210,-5.0791
-4.8536,-4.6270
-4.2094,-4.2865
-3.5817,-4.1531
-3.0492,-3.0208
-2.6143,-2.5392
-2.2604,-2.2124
-1.9698,-1.9410
-1.7278,-1.7099
-1.5235,-1.5117
-1.3484,-1.3405
-1.1964,-1.1910
-1.0627,-1.0591
-0.9441,-0.9416
-0.8376,-0.8360
-0.7414,-0.7404
-0.6538,-0.6532
-0.5736,-0.5732
-0.4997,-0.4994
-0.4313,-0.4311
-0.3679,-0.3677
-0.3091,-0.3085
-0.2544,-0.2533
-0.2055,-0.2021
-0.1610,-0.1533
-0.1118,-0.1030
-0.0623,-0.0527
-0.0121,-0.0027
 0.0392, 0.0468
 0.0929, 0.0950
 0.1506, 0.1408
 0.2154, 0.1822
 0.2978, 0.2175
 0.4095, 0.2442
 0.6746, 0.2544
 0.4958, 0.2545
 0.3453, 0.2529
 0.2912, 0.2445
 0.2556, 0.2330
 0.2331, 0.2213
 0.2186, 0.2109
 0.2101, 0.2029
 0.2067, 0.1975
 0.2082, 0.1950
 0.2150, 0.1953
 0.2287, 0.1983
 0.2529, 0.2035
 0.2932, 0.2099
 0.4259, 0.2115


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.014, -0.140, -0.205,  0.782,  0.028, 0.0146,-4.2356
Cpi,Cpv
 0.4253, 0.2141
 0.2299, 0.1864
 0.1452, 0.1378
 0.0715, 0.0840
 0.0082, 0.0297
-0.0507,-0.0232
-0.1076,-0.0740
-0.1648,-0.1226
-0.2244,-0.1705
-0.2896,-0.2335
-0.3646,-0.4256
-0.4619,-0.8139
-0.5857,-0.8125
-0.9830,-0.7971
-1.3173,-0.8908
-1.4190,-1.0654
-1.1516,-0.9441
-0.7638,-0.6807
-0.6010,-0.5506
-0.5147,-0.4783
-0.4578,-0.4286
-0.4154,-0.3904
-0.3811,-0.3589
-0.3518,-0.3316
-0.3258,-0.3069
-0.3019,-0.2842
-0.2793,-0.2629
-0.2620,-0.2451
-0.2401,-0.2231
-0.2125,-0.1959
-0.1815,-0.1652
-0.1470,-0.1308
-0.1088,-0.0928
-0.0668,-0.0509
-0.0208,-0.0050
 0.0295, 0.0453
 0.0845, 0.1001
 0.1443, 0.1598
 0.2094, 0.2247
 0.2800, 0.2952
 0.3564, 0.3714
 0.4391, 0.4538
 0.5280, 0.5420
 0.6229, 0.6365
 0.7225, 0.7345
 0.8234, 0.8340
 0.9174, 0.9248
 0.9862, 0.9895
 0.9889, 0.9853
 0.8383, 0.8249
 0.3665, 0.3386
-0.6482,-0.6875
-2.1809,-2.2237
-3.6618,-3.6786
-4.2452,-4.2356
-4.0468,-3.9953
-3.5686,-3.5545
-3.0729,-3.3303
-2.6397,-2.8985
-2.2790,-2.2409
-1.9813,-1.9483
-1.7340,-1.7195
-1.5262,-1.5228
-1.3492,-1.3515
-1.1964,-1.2016
-1.0628,-1.0696
-0.9446,-0.9522
-0.8391,-0.8471
-0.7439,-0.7520
-0.6574,-0.6655
-0.5782,-0.5863
-0.5054,-0.5133
-0.4381,-0.4458
-0.3755,-0.3830
-0.3173,-0.3246
-0.2631,-0.2700
-0.2125,-0.2190
-0.1674,-0.1719
-0.1261,-0.1273
-0.0801,-0.0803
-0.0337,-0.0327
 0.0137, 0.0155
 0.0625, 0.0645
 0.1136, 0.1142
 0.1689, 0.1640
 0.2313, 0.2125
 0.3112, 0.2574
 0.4202, 0.2946
 0.6803, 0.3110
 0.5047, 0.3075
 0.3561, 0.2939
 0.3021, 0.2744
 0.2662, 0.2540
 0.2431, 0.2358
 0.2279, 0.2210
 0.2185, 0.2099
 0.2141, 0.2024
 0.2145, 0.1984
 0.2203, 0.1978
 0.2327, 0.2005
 0.2556, 0.2059
 0.2947, 0.2133
 0.4253, 0.2141


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.013, -0.025, -0.208,  0.784,  0.034, 0.0153,-3.3994
Cpi,Cpv
 0.4252, 0.2141
 0.2275, 0.1865
 0.1411, 0.1377
 0.0654, 0.0828
 0.0001, 0.0268
-0.0610,-0.0280
-0.1202,-0.0809
-0.1798,-0.1317
-0.2421,-0.1821
-0.3103,-0.2513
-0.3888,-0.4607
-0.4903,-0.8478
-0.6193,-0.8457
-1.0290,-0.8296
-1.3725,-0.9287
-1.4781,-1.1083
-1.2053,-0.9866
-0.8100,-0.7207
-0.6463,-0.5912
-0.5607,-0.5203
-0.5052,-0.4724
-0.4645,-0.4363
-0.4323,-0.4070
-0.4053,-0.3820
-0.3817,-0.3598
-0.3604,-0.3397
-0.3407,-0.3213
-0.3266,-0.3066
-0.3080,-0.2878
-0.2836,-0.2637
-0.2558,-0.2361
-0.2245,-0.2049
-0.1896,-0.1701
-0.1509,-0.1314
-0.1082,-0.0887
-0.0611,-0.0416
-0.0094, 0.0102
 0.0473, 0.0670
 0.1094, 0.1291
 0.1773, 0.1971
 0.2516, 0.2713
 0.3327, 0.3523
 0.4212, 0.4406
 0.5174, 0.5361
 0.6211, 0.6392
 0.7308, 0.7471
 0.8417, 0.8554
 0.9410, 0.9499
 0.9985, 0.9997
 0.9447, 0.9329
 0.6375, 0.6069
-0.1322,-0.1885
-1.4010,-1.4730
-2.7244,-2.7950
-3.3497,-3.3994
-3.2969,-3.3236
-2.9672,-2.9745
-2.5918,-2.6959
-2.2499,-2.5436
-1.9581,-2.0157
-1.7129,-1.6933
-1.5064,-1.4990
-1.3308,-1.3351
-1.1798,-1.1900
-1.0482,-1.0610
-0.9322,-0.9461
-0.8289,-0.8430
-0.7359,-0.7499
-0.6516,-0.6653
-0.5744,-0.5878
-0.5035,-0.5164
-0.4379,-0.4504
-0.3769,-0.3890
-0.3200,-0.3318
-0.2669,-0.2782
-0.2172,-0.2281
-0.1706,-0.1812
-0.1291,-0.1380
-0.0911,-0.0970
-0.0483,-0.0534
-0.0048,-0.0088
 0.0399, 0.0369
 0.0860, 0.0838
 0.1346, 0.1324
 0.1875, 0.1827
 0.2476, 0.2338
 0.3250, 0.2836
 0.4311, 0.3273
 0.6862, 0.3478
 0.5137, 0.3419
 0.3672, 0.3201
 0.3133, 0.2936
 0.2772, 0.2680
 0.2535, 0.2462
 0.2375, 0.2290
 0.2273, 0.2161
 0.2220, 0.2072
 0.2213, 0.2020
 0.2259, 0.2004
 0.2372, 0.2022
 0.2588, 0.2070
 0.2966, 0.2145
 0.4252, 0.2141


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-11.000,    0.012,  0.088, -0.209,  0.786,  0.044, 0.0160,-2.6839
Cpi,Cpv
 0.4254, 0.2116
 0.2256, 0.1852
 0.1374, 0.1376
 0.0599, 0.0829
-0.0075, 0.0260
-0.0706,-0.0303
-0.1321,-0.0849
-0.1942,-0.1378
-0.2592,-0.1925
-0.3304,-0.2792
-0.4123,-0.5212
-0.5180,-0.8740
-0.6522,-0.8706
-1.0742,-0.8533
-1.4268,-0.9546
-1.5363,-1.1403
-1.2583,-1.0210
-0.8557,-0.7558
-0.6911,-0.6284
-0.6064,-0.5597
-0.5524,-0.5140
-0.5137,-0.4803
-0.4836,-0.4534
-0.4590,-0.4310
-0.4379,-0.4116
-0.4194,-0.3944
-0.4026,-0.3790
-0.3920,-0.3677
-0.3769,-0.3522
-0.3559,-0.3315
-0.3316,-0.3073
-0.3038,-0.2796
-0.2725,-0.2482
-0.2375,-0.2131
-0.1985,-0.1740
-0.1552,-0.1305
-0.1073,-0.0824
-0.0543,-0.0292
 0.0040, 0.0294
 0.0683, 0.0940
 0.1392, 0.1652
 0.2175, 0.2435
 0.3038, 0.3301
 0.3991, 0.4250
 0.5042, 0.5301
 0.6190, 0.6430
 0.7416, 0.7639
 0.8644, 0.8817
 0.9666, 0.9760
 0.9954, 0.9901
 0.8335, 0.8045
 0.2878, 0.2238
-0.7293,-0.8241
-1.8901,-1.9986
-2.5356,-2.6319
-2.6049,-2.6839
-2.4061,-2.4648
-2.1388,-2.1951
-1.8803,-1.9985
-1.6519,-1.8731
-1.4556,-1.5043
-1.2872,-1.2836
-1.1419,-1.1473
-1.0154,-1.0294
-0.9039,-0.9219
-0.8048,-0.8241
-0.7156,-0.7352
-0.6347,-0.6540
-0.5608,-0.5795
-0.4927,-0.5108
-0.4297,-0.4471
-0.3710,-0.3878
-0.3162,-0.3324
-0.2649,-0.2805
-0.2166,-0.2318
-0.1713,-0.1860
-0.1288,-0.1430
-0.0908,-0.1035
-0.0559,-0.0661
-0.0163,-0.0256
 0.0244, 0.0160
 0.0662, 0.0589
 0.1098, 0.1035
 0.1559, 0.1504
 0.2064, 0.2000
 0.2642, 0.2522
 0.3390, 0.3053
 0.4423, 0.3543
 0.6922, 0.3785
 0.5230, 0.3706
 0.3786, 0.3416
 0.3249, 0.3094
 0.2885, 0.2798
 0.2643, 0.2553
 0.2476, 0.2363
 0.2365, 0.2219
 0.2302, 0.2117
 0.2286, 0.2053
 0.2321, 0.2024
 0.2421, 0.2030
 0.2624, 0.2067
 0.2989, 0.2137
 0.4254, 0.2116


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-10.000,    0.012,  0.197, -0.210,  0.789,  0.061, 0.0167,-2.0896
Cpi,Cpv
 0.4259, 0.2057
 0.2241, 0.1815
 0.1343, 0.1372
 0.0549, 0.0844
-0.0144, 0.0280
-0.0797,-0.0289
-0.1434,-0.0848
-0.2079,-0.1404
-0.2756,-0.2044
-0.3498,-0.3289
-0.4352,-0.6034
-0.5451,-0.8891
-0.6845,-0.8840
-1.1186,-0.8650
-1.4803,-0.9637
-1.5936,-1.1566
-1.3106,-1.0438
-0.9008,-0.7836
-0.7356,-0.6603
-0.6517,-0.5949
-0.5994,-0.5521
-0.5626,-0.5212
-0.5349,-0.4972
-0.5127,-0.4777
-0.4944,-0.4612
-0.4788,-0.4471
-0.4651,-0.4350
-0.4582,-0.4272
-0.4466,-0.4153
-0.4293,-0.3982
-0.4087,-0.3777
-0.3848,-0.3537
-0.3574,-0.3262
-0.3265,-0.2950
-0.2916,-0.2599
-0.2525,-0.2205
-0.2089,-0.1765
-0.1605,-0.1275
-0.1066,-0.0731
-0.0468,-0.0127
 0.0196, 0.0544
 0.0936, 0.1289
 0.1760, 0.2119
 0.2684, 0.3048
 0.3719, 0.4082
 0.4881, 0.5244
 0.6173, 0.6512
 0.7564, 0.7870
 0.8932, 0.9152
 0.9902, 0.9966
 0.9542, 0.9321
 0.6112, 0.5467
-0.1667,-0.2809
-1.1599,-1.2983
-1.8038,-1.9444
-1.9717,-2.0896
-1.8858,-1.9866
-1.7146,-1.7989
-1.5314,-1.6102
-1.3610,-1.4582
-1.2096,-1.3465
-1.0767,-1.1964
-0.9598,-0.9681
-0.8563,-0.8680
-0.7639,-0.7831
-0.6806,-0.7039
-0.6049,-0.6295
-0.5356,-0.5602
-0.4716,-0.4957
-0.4122,-0.4356
-0.3568,-0.3793
-0.3049,-0.3266
-0.2561,-0.2770
-0.2101,-0.2303
-0.1667,-0.1862
-0.1257,-0.1446
-0.0871,-0.1054
-0.0525,-0.0695
-0.0207,-0.0355
 0.0159, 0.0019
 0.0536, 0.0406
 0.0928, 0.0808
 0.1337, 0.1230
 0.1774, 0.1679
 0.2256, 0.2163
 0.2810, 0.2687
 0.3533, 0.3243
 0.4537, 0.3782
 0.6984, 0.4059
 0.5324, 0.3961
 0.3903, 0.3603
 0.3368, 0.3229
 0.3001, 0.2899
 0.2755, 0.2633
 0.2581, 0.2426
 0.2462, 0.2269
 0.2389, 0.2154
 0.2363, 0.2075
 0.2386, 0.2031
 0.2475, 0.2021
 0.2664, 0.2043
 0.3016, 0.2102
 0.4259, 0.2057


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
 -9.000,    0.013,  0.304, -0.211,  0.793,  0.090, 0.0173,-1.5480
Cpi,Cpv
 0.4268, 0.1974
 0.2231, 0.1757
 0.1317, 0.1352
 0.0504, 0.0853
-0.0208, 0.0305
-0.0881,-0.0263
-0.1541,-0.0834
-0.2210,-0.1429
-0.2914,-0.2204
-0.3685,-0.3949
-0.4573,-0.6811
-0.5714,-0.8978
-0.7160,-0.8909
-1.1622,-0.8702
-1.5328,-0.9638
-1.6500,-1.1635
-1.3620,-1.0595
-0.9453,-0.8068
-0.7795,-0.6889
-0.6967,-0.6272
-0.6461,-0.5878
-0.6114,-0.5600
-0.5860,-0.5391
-0.5665,-0.5227
-0.5510,-0.5094
-0.5384,-0.4986
-0.5281,-0.4900
-0.5249,-0.4859
-0.5173,-0.4778
-0.5038,-0.4645
-0.4872,-0.4479
-0.4673,-0.4279
-0.4442,-0.4046
-0.4176,-0.3776
-0.3873,-0.3468
-0.3530,-0.3119
-0.3143,-0.2725
-0.2709,-0.2283
-0.2223,-0.1788
-0.1680,-0.1234
-0.1071,-0.0614
-0.0388, 0.0080
 0.0381, 0.0861
 0.1252, 0.1747
 0.2245, 0.2745
 0.3382, 0.3896
 0.4689, 0.5187
 0.6173, 0.6655
 0.7784, 0.8186
 0.9291, 0.9543
 0.9996, 0.9937
 0.8376, 0.7810
 0.2861, 0.1661
-0.5347,-0.6960
-1.1553,-1.3261
-1.3979,-1.5480
-1.4070,-1.5377
-1.3196,-1.4302
-1.2035,-1.2994
-1.0857,-1.1715
-0.9754,-1.0578
-0.8751,-0.9628
-0.7846,-0.8854
-0.7026,-0.8035
-0.6281,-0.6459
-0.5599,-0.5782
-0.4970,-0.5209
-0.4386,-0.4656
-0.3842,-0.4121
-0.3332,-0.3609
-0.2851,-0.3123
-0.2397,-0.2661
-0.1967,-0.2223
-0.1559,-0.1807
-0.1171,-0.1411
-0.0803,-0.1036
-0.0455,-0.0681
-0.0143,-0.0357
